variable,type,label_en,label_ro,units,domain,allowed_values,missing_allowed,role,public_release,derivation
study_patient_id,string,De-identified patient grouping identifier,Identificator de-identificat al pacientului,NA,metadata,non-empty string,0,identifier,yes,
study_case_id,string,De-identified clinical case identifier,Identificator de-identificat al cazului,NA,metadata,non-empty string,0,identifier,yes,
aneurysm_id,string,De-identified aneurysm identifier,Identificator de-identificat al anevrismului,NA,metadata,non-empty string,0,identifier,yes,
procedure_id,string,De-identified procedure identifier,Identificator de-identificat al procedurii,NA,metadata,non-empty string,0,identifier,yes,
linked_original_case_id,string,Link to the original study case when applicable,"Legătură cu cazul de studiu inițial, dacă este aplicabil",NA,metadata,string or missing code,1,secure linkage,restricted,
index_case_flag,binary,Designated index case for the patient,Caz index desemnat pentru pacient,flag,metadata,0/1,0,identifier,yes,
index_year,integer,Year of microsurgical treatment,Anul tratamentului microchirurgical,year,metadata,1997-2026,0,split,yes,
age_years,numeric,Age at surgery,Vârsta la intervenție,years,clinical,18-120,0,predictor,yes,
sex_at_birth,categorical,Sex at birth,Sex la naștere,NA,clinical,Female/Male,0,predictor,yes,
rupture_status,categorical,Aneurysm presentation,Prezentarea anevrismului,NA,clinical,Ruptured/Unruptured,0,predictor,yes,
aneurysm_max_diameter_mm,numeric,Maximum aneurysm diameter,Diametrul maxim al anevrismului,mm,morphology,>=0,1,predictor,yes,
height_mm,numeric,Aneurysm height,Înălțimea anevrismului,mm,morphology,>=0,1,predictor,yes,
neck_width_mm,numeric,Aneurysm neck width,Lățimea coletului anevrismal,mm,morphology,>=0,1,predictor,yes,
dome_to_neck_ratio,numeric,Dome-to-neck ratio,Raport dom/colet,ratio,morphology,>=0,1,predictor,yes,
aspect_ratio,numeric,Aneurysm height divided by neck width,Raport înălțime/colet,ratio,morphology,>=0,1,predictor,yes,height_mm / neck_width_mm when absent
pcoa_diameter_mm,numeric,PComA diameter,Diametrul PComA,mm,pcoa_p1,>=0,1,predictor,yes,
p1_diameter_mm,numeric,P1 segment diameter,Diametrul segmentului P1,mm,pcoa_p1,>=0,1,predictor,yes,
pcoa_incorporated_neck,binary,PComA incorporated into the neck,PComA încorporată în colet,flag,pcoa_p1,0/1,0,predictor,yes,
pcoa_adherent_to_sac,binary,PComA adherent to the aneurysm sac,PComA aderentă la sacul anevrismal,flag,pcoa_p1,0/1,0,predictor,yes,
pcoa_stretched_over_dome,binary,PComA stretched over the dome,PComA întinsă peste dom,flag,pcoa_p1,0/1,0,predictor,yes,
acha_distance_from_neck_mm,numeric,AChA distance from aneurysm neck,Distanța AChA față de colet,mm,acha,>=0,1,predictor,yes,
perforator_count_estimated,numeric,Estimated relevant perforator count,Număr estimat de perforante relevante,count,perforators,>=0,1,predictor,yes,
largest_perforator_diameter_mm,numeric,Largest relevant perforator diameter,Diametrul celei mai mari perforante relevante,mm,perforators,>=0,1,predictor,yes,
perforator_origin_from_p1,binary,Relevant perforator originates from P1,Perforantă relevantă cu origine din P1,flag,perforators,0/1,0,predictor,yes,
parent_ica_curvature_deg,numeric,Parent ICA curvature,Curbura ICA parentale,degrees,geometry,>=0,1,predictor,yes,
parent_ica_tortuosity_index,numeric,Parent ICA tortuosity index,Indice de tortuozitate al ICA parentale,index,geometry,>=0,1,predictor,yes,
distance_to_pcoa_ostium_mm,numeric,Distance to PComA ostium,Distanța până la ostiul PComA,mm,geometry,>=0,1,predictor,yes,
cn3_grooving_present,binary,CN III grooving visible,Șanț al nervului III prezent,flag,cn3,0/1,0,predictor,yes,
cn3_compression_grade,categorical,CN III compression grade,Gradul compresiei nervului III,NA,cn3,locked categories,1,predictor,yes,
preop_cn3_palsy,binary,Preoperative CN III palsy,Paralizie preoperatorie de nerv III,flag,cn3,0/1,0,eligibility,yes,
preop_cn3_complete_or_partial,categorical,"Complete, partial, or no palsy","Paralizie completă, parțială sau absentă",NA,cn3,Complete/Partial/None,1,predictor,yes,
preop_cn3_duration_days,numeric,Preoperative palsy duration,Durata preoperatorie a paraliziei,days,cn3,>=0,1,predictor,yes,
preop_cn3_pupil_involvement,binary,Preoperative pupillary involvement,Afectare pupilară preoperatorie,flag,cn3,0/1,0,predictor,yes,
baseline_mrs,integer,Baseline modified Rankin Scale,Scor Rankin modificat bazal,0-6,clinical,0-6,1,predictor,yes,
preop_nihss_total,integer,Preoperative NIHSS,NIHSS preoperator,0-42,clinical,0-42,1,predictor,yes,
admission_gcs_total,integer,Admission Glasgow Coma Scale,Scor Glasgow la internare,3-15,clinical,3-15,1,predictor,yes,
hunt_hess_grade,integer,Hunt-Hess grade,Grad Hunt-Hess,0-5,clinical,0-5,1,predictor,yes,
wfns_grade,integer,WFNS grade,Grad WFNS,0-5,clinical,0-5,1,predictor,yes,
pcoma_c_exposure_component,binary,Difficult or extended skull-base exposure component,Componentă de expunere dificilă/extinsă a bazei craniului,flag,endpoint_source,0/1,0,endpoint source,yes,
